Date,Open,High,Low,Close,Volume,Close_Chg,Reg_5,Reg_10,EMA_20,EMA20_Cnt,EMA_20_Chg,EM_Diff_By_ATR,Curr_Supp,Prev_Supp,Curr_Res,Prev_Res,Signal_B,Signal_SL,Trail_Price,Signal_SP,PnL,Present_Value,Support,EMA20_Sig,Reg_Cross_Sig,Fib_Status
2014-01-01,214.87,215.6,214.07,214.93,1239519.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-02,214.9,216.67,209.53,209.97,4523191.0,-2.3,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-03,210.0,210.67,206.9,209.83,7999918.0,-0.1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-06,210.0,211.13,209.0,210.43,5436752.0,0.3,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-07,211.0,211.6,208.5,211.13,5186092.0,0.3,209.82999999999996,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-08,211.67,212.0,209.17,211.23,4983658.0,0.0,211.282,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-09,211.13,211.13,208.43,210.4,5109246.0,-0.4,210.99199999999996,0.0,,0.0,,,0.0,0.0,211.282,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-10,211.8,216.33,209.33,215.07,6124872.0,2.2,213.362,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-13,215.73,217.53,215.07,216.97,4238931.0,0.9,216.06399999999982,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-14,217.33,220.0,215.9,216.3,5045534.0,-0.3,217.336,215.01345454545464,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-15,216.73,219.67,214.23,219.23,5899190.0,1.4,219.3720000000001,217.7556363636364,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Abv_Reg10,
2014-01-16,219.33,220.6,215.77,217.0,3163725.0,-1.0,218.13800000000018,218.50090909090918,,0.0,,,0.0,0.0,219.3720000000001,211.282,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Cross_Down,
2014-01-17,217.33,218.67,215.0,216.57,7518595.0,-0.2,217.19399999999996,218.68618181818175,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
2014-01-20,216.33,220.33,215.4,220.13,5738121.0,1.6,218.84600000000006,219.85363636363624,,0.0,,,217.19399999999996,0.0,0.0,0.0,,,0.0,,0.0,0.0,Price_Crs_Abv_Supp,Close_LT_20EMA,Reg5_Blw_Reg10,
